Feature1,Feature2
20.52,171.5
23.97,143.7
20.52,137.2
20.52,135.1
17.77,132.9
20.52,132.4
24.8,132.4
22.15,130.0
20.52,130.0
26.29,129.1
24.81,128.3
26.47,127.9
18.57,125.5
25.11,124.8
17.6,123.7
21.31,123.6
10.38,122.8
20.52,122.1
24.59,122.0
18.52,121.1
18.7,120.3
16.15,120.2
19.98,119.6
16.4,116.0
15.05,115.0
24.52,114.2
20.52,112.8
21.59,110.1
21.38,110.0
20.52,108.1
20.52,107.0
19.65,104.1
23.95,103.7
17.89,103.6
23.24,102.7
14.26,102.5
25.27,102.4
19.83,100.3
22.76,100.2
21.53,97.41
23.94,97.4
22.02,97.26
27.54,96.73
20.52,96.42
15.24,95.77
21.59,95.55
25.2,95.54
20.52,94.74
24.02,94.57
20.52,94.48
21.46,94.25
21.72,93.63
22.61,93.6
20.52,90.43
20.83,90.2
20.52,88.4
24.98,88.05
10.94,87.91
20.52,87.5
14.36,87.46
20.28,87.32
16.34,87.21
22.3,86.91
18.3,86.6
15.86,86.49
21.58,86.18
18.66,85.98
15.71,85.63
21.81,85.42
14.76,84.74
20.52,83.97
18.0,83.19
23.84,82.69
20.52,82.61
19.31,82.61
15.7,82.57
16.49,81.37
21.8,79.78
16.52,79.19
14.63,78.04
18.7,77.93
17.84,77.79
20.38,77.58
20.52,77.22
